acq_date,apco_rev_post,apco_rev_repro,auco_rev_veg,awco_rev,awpr_repro,blco_rev_veg,blpub_veg,blsco_rev_veg,box_code,cco_rev_veg,cnthph,cntnull,cntrep,cntveg,country_origin,cropyear,cuan_repro,cudi_code_repro,cudi_repro,cult_code_repro,cult_repro,cuno_code_repro,cuno_repro,cust_repro,date_head_1stflow,date_head_80,date_seed,date_update,dna_gid,endo,fla_repro,grlt,grwd,grwt100,gs_accno,hdg_80head,inco_rev_repro,iris_unique_id,la,ligco_rev_veg,liglt,ligsh,llt,llt_code,lpco_rev_post,lppub,lsen,lwd,mls_proc,noco_rev,ori_country,pa_repro,pex_repro,plt_code_post,plt_post,pop_code,psh,pth,pty,scco_rev,sdht,sdht_code,second_br_repro,slco_rev,sllt_code,sound_reid,sound_var,source_accno,species_coll,species_reid,spkf,spp_code,ss_country,ss_station,status_acc,subpopulation,subpopulation_v2,variety_gid,variety_type,wcnthph,wcntnull,wcntrep,wcntveg
Acqusition date (DD-MON-YYYY),Apiculus color at post-harvest,Apiculus color at reproductive,Auricle color at vegetative,Awn color,Awn presence at reproductive,Blade color at vegetative,Blade pubescence at vegetative,Basal leafsheath color at vegetative,ID assigned to DNA.,Collar color at vegetative - cultivated,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,Country of origin (ISO Standard),Crop Year,Culm angle at reproductive,Culm diam. of basal internode at reproductive,Culm diameter (mm) of basal internode at repro.,Culm length at reproductive,Culm length (cm) at reproductive,Culm number (code) at reproductive - cultivated,Culm number (count) at reproductive - cultivated,Culm strength at reproductive - cultivated,Date at first flowering,Date when plants are 80% fully headed-cultivated,Date of seeding,GRIMS Morpho-Agron data field,GID assigned to the individual plant where the genomic dna for resequencing was isolated.,Endosperm type,Flag leaf angle at reproductive - cultivated,Grain length (mm),Grain Width(mm),100-grain weight (gm) - cultivated,GS Accession Number,Heading (days to 80% fully headed) - cultivated,Internode color at reproductive - cultivated,Unique ID assigned by the International Rice Information System.,Leaf angle - cultivated,Ligule color at vegetative - cultivated,Ligule length (mm) - cultivated,Ligule shape,Leaf length (cm) - cultivated,Leaf length - cultivated,Lemma and palea color at post-harvest,Lemma and palea pubescence,Leaf senescence,Leaf width (cm) - cultivated,Current status of accession in relation to agreement with the Governing Body of the International Treaty on Plant Genetic Resources for Food and Agriculture,Node color,Source Country,Panicle axis at reproductive,Panicle exsertion at reproductive,Panicle length at post-harvest,Panicle length (cm) at post-harvest,Sub-population within a sample,Panicle shattering,Panicle threshability,Panicle type,Sead coat color,Seedling height (cm),Seedling height,Secondary branching at reproductive,Sterile lemma color,Sterile lemma length,Reid Soundex code,Varname soundex code,IRGC Accession number,Scientific name given by collector/donor,Scientific name,Spikelet fertility,Species code,Donating country,Donating institute/station,Status of germplasm,subpopulation (variety grouping),subpopulation (version 2),GID assigned to the rice variety.,variety group,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field
2012-05-01 00:00:00,70,10,61,20,5,60,3,60,BD9,60,12,36,18,6,Indonesia,1996WS,3,1,4,6,133,2,13,9,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3363677,1,5,7.8,3.1,2.6,127976,117,60,IRIS 313-10995,2,11,28,2,73,4,20,2,1,1.4,Y,60,IDN,2,1,3,26,A,1,9,5,10,32,2,1,20,3,O.SDB,ASBCLMF::RGC26988-2,26988,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,ind3,4055111,Indica,8,18,7,3
2011-05-01 00:00:00,70,10,61,20,5,63,3,60,BC57,60,12,35,17,6,Indonesia,1996WS,3,2,5,6,131,2,12,9,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3363722,2,5,8.5,3.3,2.5,127174,103,60,IRIS 313-10950,2,11,25,2,77,4,80,2,1,1.5,Y,60,IDN,2,1,3,25,A,1,1,5,80,18,1,1,80,3,O.SDB,ASFLBLMG::RGC25171-1,25171,O. sativa,O. sativa,3,S,PHL,288,AV,trop,trop1,4056267,Japonica,8,18,7,3
2011-05-01 00:00:00,70,10,61,20,5,60,3,60,BA53,60,12,36,18,6,Indonesia,1996WS,3,1,4,5,129,2,12,1,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3363912,1,5,8.4,3.1,1.9,127174,112,60,IRIS 313-10760,2,11,24,2,61,4,20,2,1,1.6,Y,60,IDN,2,7,3,26,A,1,9,5,10,30,2,1,20,3,O.SDB,ASFLBLMG::RGC25171-1,17174,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,ind3,4056267,Indica,8,18,7,3
2011-05-01 00:00:00,70,20,61,20,5,60,3,60,AP51,61,14,42,20,8,Indonesia,1996WS,1,1,4,4,105,2,16,3,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3363016,1,5,8.7,2.5,2.5,127196,88,60,IRIS 313-11656,2,11,19,2,43,3,54,2,7,1.2,Y,60,IDN,2,1,3,24,A,1,1,5,10,29,1,1,20,3,O.SDB,B3913B16-20SD28::RGC63099-1,63099,O. sativa,O. sativa,1,S,PHL,288,AV,indx,indx,4055881,Indica,9,21,9,3
2010-11-01 00:00:00,20,60,62,20,5,60,3,60,AI77,61,14,42,20,8,Indonesia,2009WS,1,1,6.4,4,111,2,15,9,2009-09-30 00:00:00,2009-10-05 00:00:00,2009-06-17 00:00:00,2014-07-14 16:53:23.623606,3303519,1,3,8.5,2.6,2.4,126044,107,60,IRIS 313-10332,1,11,17,3,43.6,3,20,4,7,1.6,Y,60,IDN,4,7,3,28.2,A,1,3,5,10,35,1,1,20,3,O.SDB,B4414F-MR-6-3::RGC117310-1,117310,O. sativa,O. sativa,4,S,PHL,288,AV,indx,indx,3058873,Indica,9,21,9,3
2010-05-01 00:00:00,20,60,62,20,5,60,3,60,AD10,61,14,42,20,8,Indonesia,2009WS,1,1,4.6,4,86,2,20,9,2009-09-07 00:00:00,2009-09-11 00:00:00,2009-06-17 00:00:00,2014-07-14 16:53:23.720627,3303517,1,3,7.9,2.8,2.4,125952,84,60,IRIS 313-10334,1,11,17,3,41,3,20,4,7,1.5,Y,60,IDN,3,5,3,24.8,A,1,3,5,10,37,1,1,20,3,O.SDB,B6136-3-DB-0-1-5::RGC117311-1,117311,O. sativa,O. sativa,4,S,PHL,288,AV,indx,ind1B,3058871,Indica,9,21,9,3
2010-05-01 00:00:00,20,60,62,20,5,60,3,60,AD09,61,14,42,20,8,Indonesia,2009WS,1,1,5.7,4,86,2,20,9,2009-09-07 00:00:00,2009-09-11 00:00:00,2009-06-17 00:00:00,2014-07-14 16:53:23.805221,3303518,1,3,7.7,2.8,2.4,125951,84,60,IRIS 313-10333,1,11,17,3,43.2,3,20,4,7,1.4,Y,60,IDN,3,5,3,23.6,A,1,3,5,10,36,1,1,20,3,O.SDB,B6136-3-DB-0-1-5::RGC117312-1,117312,O. sativa,O. sativa,4,S,PHL,288,AV,indx,ind1B,3058872,Indica,9,21,9,3
2010-05-01 00:00:00,80,80,62,20,5,60,3,81,AD11,61,14,42,20,8,Indonesia,2009WS,1,1,6,4,116,2,11,7,2009-09-18 00:00:00,2009-09-22 00:00:00,2009-06-17 00:00:00,2014-07-14 16:53:24.065674,3303514,1,7,8.4,2.9,2.7,125953,95,41,IRIS 313-10337,1,84,19,3,45,3,54,4,7,1.5,Y,60,IDN,4,9,3,23.2,A,1,3,5,10,49,1,1,20,3,O.SDB,B6149F-MR-7::RGC117314-1,117314,O. sativa,O. sativa,4,S,PHL,288,AV,ind3,indx,3058868,Indica,9,21,9,3
2012-05-01 00:00:00,80,20,61,20,5,60,3,60,BF67,61,14,42,20,8,Indonesia,2009WS,2,1,4,5,121,2,14,1,2009-09-18 00:00:00,2009-09-22 00:00:00,2009-06-17 00:00:00,2014-07-14 16:53:24.065674,3363433,1,5,10.3,2.9,2.5,127978,94,60,IRIS 313-11239,2,11,18,2,59,3,20,2,1,1.4,Y,60,IDN,2,5,3,28,A,3,6,5,10,40,2,1,20,3,O.SDB,B737G-CM-23-1::RGC39203-2,39203,O. sativa,O. sativa,1,S,PHL,288,AV,indx,indx,4055006,Indica,9,21,9,3
2009-11-01 00:00:00,80,10,61,20,5,60,3,60,AD82,60,12,35,17,6,Indonesia,2009WS,1,2,5,5,112,3,25,9,2009-09-18 00:00:00,2009-09-22 00:00:00,2009-06-17 00:00:00,2014-07-14 16:53:24.065674,3305005,1,5,8.7,3.1,2.8,125668,116,60,IRIS 313-8846,2,11,18,2,59,3,20,2,9,1.5,Y,60,IDN,2,1,3,30,A,3,5,9,10,20,1,1,20,5,O.SDB,BMG6::RGC6129-1,6129,O. sativa,O. sativa,3,S,PHL,288,AV,ind2,indx,3059707,Indica,8,18,7,3
